what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.4.0.v200806091234,org.eclipse.emf.codegen.ecore.ui,1228782778640
stopped,bundle,org.eclipse.emf.codegen.ui,2.4.0.v200806091234,org.eclipse.emf.codegen.ui,1228782778640
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.4.0.v200806091234,org.eclipse.emf.mapping.ecore2ecore.editor,1228782778640
stopped,bundle,org.eclipse.emf.ecore.editor,2.4.0.v200806091234,org.eclipse.emf.ecore.editor,1228782778640
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.4.0.v200806091234,org.eclipse.emf.mapping.ecore2xml.ui,1228782778640
stopped,bundle,org.eclipse.emf.mapping.ui,2.4.0.v200806091234,org.eclipse.emf.mapping.ui,1228782778640
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.1.0.v20080605,org.eclipse.jst.jsf.facesconfig,1228782778640
stopped,bundle,org.eclipse.emf.edit.ui,2.4.0.v200806091234,org.eclipse.emf.edit.ui,1228782778640
stopped,bundle,org.eclipse.emf.common.ui,2.4.0.v200806091234,org.eclipse.emf.common.ui,1228782778640
stopped,bundle,org.eclipse.jst.common.project.facet.ui,1.3.0.v200805092201,org.eclipse.jst.common.project.facet.ui,1228782778640
stopped,bundle,org.eclipse.rse.subsystems.files.dstore,2.1.0.v20080604,org.eclipse.rse.subsystems.files.dstore,1228782778640
stopped,bundle,org.eclipse.rse.subsystems.processes.dstore,2.1.0.v20080604,org.eclipse.rse.subsystems.processes.dstore,1228782778640
stopped,bundle,org.eclipse.rse.subsystems.shells.dstore,2.1.0.v20080604,org.eclipse.rse.subsystems.shells.dstore,1228782778640
stopped,bundle,org.eclipse.rse.connectorservice.dstore,3.0.0.v20080609,org.eclipse.rse.connectorservice.dstore,1228782778640
stopped,bundle,org.eclipse.rse.subsystems.files.local,2.1.0.v20080604,org.eclipse.rse.subsystems.files.local,1228782778640
stopped,bundle,org.eclipse.rse.subsystems.processes.local,2.1.0.v20080604,org.eclipse.rse.subsystems.processes.local,1228782778640
stopped,bundle,org.eclipse.rse.subsystems.shells.local,2.1.0.v20080604,org.eclipse.rse.subsystems.shells.local,1228782778640
stopped,bundle,org.eclipse.rse.connectorservice.local,2.1.0.v20080604,org.eclipse.rse.connectorservice.local,1228782778781
stopped,bundle,org.eclipse.rse.subsystems.files.ssh,2.1.0.v20080604,org.eclipse.rse.subsystems.files.ssh,1228782778781
stopped,bundle,org.eclipse.rse.subsystems.shells.ssh,2.1.0.v20080604,org.eclipse.rse.subsystems.shells.ssh,1228782778781
stopped,bundle,org.eclipse.rse.subsystems.terminals.ssh,0.1.0.v20080604,org.eclipse.rse.subsystems.terminals.ssh,1228782778781
stopped,bundle,org.eclipse.rse.connectorservice.ssh,2.1.0.v20080604,org.eclipse.rse.connectorservice.ssh,1228782778781
